BeamNumber,a_m,b_m,w_m,t_m
1,0.074501369222317,0.07,0.0091748046875,0.0362757201646091
2,0.179698564312573,0.07,0.0316748046875,0.0212757201646091
3,0.118410362789749,0.07,0.0204248046875,0.0162757201646091
4,0.0925242347496049,0.07,0.0429248046875,0.0462757201646091
5,0.148092180806415,0.07,0.0147998046875,0.0312757201646091
6,0.0881060611762891,0.07,0.0372998046875,0.0112757201646091
7,0.205776087084967,0.07,0.0260498046875,0.0412757201646091
8,0.141962100632528,0.07,0.0485498046875,0.0262757201646091
9,0.112840409499434,0.07,0.0077685546875,0.00960905349794239
10,0.173272958120995,0.07,0.0302685546875,0.0396090534979424
11,0.0803776462457069,0.07,0.0190185546875,0.0246090534979424
12,0.192669888711236,0.07,0.0415185546875,0.0196090534979424
13,0.129965864810726,0.07,0.0133935546875,0.0496090534979424
14,0.102229379417074,0.07,0.0358935546875,0.0346090534979424
15,0.160565893065744,0.07,0.0246435546875,0.0146090534979424
16,0.0771784297326656,0.07,0.0471435546875,0.0446090534979424
17,0.186165598368764,0.07,0.0105810546875,0.0296090534979424
18,0.12412521909749,0.07,0.0330810546875,0.00794238683127572
19,0.097246028278794,0.07,0.0218310546875,0.0379423868312757
20,0.154296305905229,0.07,0.0443310546875,0.0229423868312757
